id,YEAR,positive_negtive_中立,positive_negtive_消极,positive_negtive_积极
09912c34159b1720558a419983a989f1dd2e0ed69a044ca3,2016.0,0.027777777777777776,0.0,0.0
175ebe5f059ec050afbd65251ecdd3b512bfbe5e62d041b0,2017.0,0.004629629629629629,0.0,0.0038314176245210726
175ebe5f059ec050afbd65251ecdd3b512bfbe5e62d041b0,2018.0,0.0,0.0,0.0038314176245210726
175ebe5f059ec050afbd65251ecdd3b512bfbe5e62d041b0,2020.0,0.009259259259259259,0.0,0.007662835249042145
216bd2aaf4d079240c3ac0b76f0ef4aa355d443880ba78db,2020.0,0.004629629629629629,0.0,0.007662835249042145
216bd2aaf4d079240f5823e63d24b44dd2c58e3281b822f6,2020.0,0.009259259259259259,0.0,0.0
216bd2aaf4d0792410725ba5e7ca1dc32ce55767372f2030,2014.0,0.0,0.01,0.0
216bd2aaf4d0792441e3b7277b9cefa0291c793d81a3c0d6,2014.0,0.0,0.01,0.0
216bd2aaf4d07924429c35aadfa374ad5c993210e02e7b7e,2020.0,0.004629629629629629,0.0,0.0
216bd2aaf4d0792458ca0011e529060363ac177eae61e131,2020.0,0.004629629629629629,0.0,0.0
216bd2aaf4d07924595c1b1041acae96b2a283d5c4acc607,2011.0,0.0,0.0,0.0038314176245210726
216bd2aaf4d079245e336a1cb6e6c79784b82025f2256136,2019.0,0.0,0.0,0.0038314176245210726
216bd2aaf4d07924644a576172186cf53ce2a223f024a8d4,2020.0,0.0,0.0,0.0038314176245210726
216bd2aaf4d0792484fc64abae4bc73b556eacaa153e78c7,2020.0,0.0,0.0,0.0038314176245210726
216bd2aaf4d079248a1cb9c41425810a25d29c1fc1d1c15a,2016.0,0.009259259259259259,0.0,0.0
216bd2aaf4d0792498a6b2cdcc529cd2ad9e309070133338,2020.0,0.0,0.0,0.0038314176245210726
216bd2aaf4d07924fe2675c2035c548778f9a0293ca7bfb7,2020.0,0.004629629629629629,0.0,0.0
47645761dc56bb8c228e3ac2adc0352fecf6632feb4208d6,2018.0,0.004629629629629629,0.0,0.0
47645761dc56bb8c22a3d787cc419c37bd748cb9630e098e,2017.0,0.004629629629629629,0.0,0.0
47645761dc56bb8c270e08c5030041b1849d06cb34dddd3e,2020.0,0.004629629629629629,0.0,0.0
47645761dc56bb8c2cd5efe8d1318679dff070a0f7045f8c,2018.0,0.0,0.0,0.0038314176245210726
47645761dc56bb8c2cd5efe8d1318679dff070a0f7045f8c,2020.0,0.0,0.0,0.007662835249042145
47645761dc56bb8c34321bedbdd12d58049eb0bd7a9263d8,2020.0,0.004629629629629629,0.0,0.0
47645761dc56bb8c3593d574d325d27f439fd4a8f5d4c93b,2016.0,0.004629629629629629,0.01,0.0
